12/04/2019	21:58:15	test	1.00	0.00	1000122.00
12/04/2019	21:49:41	test	0.00	2.00	1000121.00
12/04/2019	21:49:35	test	0.00	2.00	1000123.00
12/04/2019	21:49:28	test	2.00	0.00	1000125.00
12/04/2019	21:49:04	test	2.00	0.00	1000123.00
12/04/2019	21:48:59	test	2.00	0.00	1000121.00
12/04/2019	21:48:52	test	2.00	0.00	1000119.00
12/04/2019	21:48:36	test	2.00	0.00	1000117.00
12/04/2019	21:48:30	test	2.00	0.00	1000115.00
12/04/2019	21:48:25	test	2.00	0.00	1000113.00
12/04/2019	21:48:20	test	2.00	0.00	1000111.00
12/04/2019	21:48:15	test	2.00	0.00	1000109.00
12/04/2019	21:48:03	test	2.00	0.00	1000107.00
12/04/2019	21:47:57	test	2.00	0.00	1000105.00
12/04/2019	21:47:51	test	2.00	0.00	1000103.00
12/04/2019	21:47:42	tst	100.00	0.00	1000101.00
09/04/2019	18:10:46	test	0.01	0.00	1000001.00
08/04/2019	19:43:55	test	1.00	0.00	1000000.99
01/02/2000	17:02:43	test	999999.00	0.00	999999.99
31/01/2000	17:02:43	test	0.00	999999.00	0.99
30/01/2000	17:02:43	test	999999.00	0.00	999999.99
29/01/2000	17:02:43	test	0.00	999999.00	0.99
28/01/2000	17:02:43	test	999999.00	0.00	999999.99
27/01/2000	17:02:43	test	0.00	999999.00	0.99
26/01/2000	17:02:43	test	999999.00	0.00	999999.99
25/01/2000	17:02:43	test	0.00	999999.00	0.99
24/01/2000	17:02:43	test	999999.00	0.00	999999.99
23/01/2000	17:02:43	test	0.00	999999.00	0.99
22/01/2000	17:02:43	test	999999.00	0.00	999999.99
21/01/2000	17:02:43	test	0.00	999999.00	0.99
20/01/2000	17:02:43	test	999999.00	0.00	999999.99
19/01/2000	17:02:43	test	0.00	999999.00	0.99
18/01/2000	17:02:43	test	999999.00	0.00	999999.99
17/01/2000	17:02:43	test	0.00	999999.00	0.99
16/01/2000	17:02:43	test	999999.00	0.00	999999.99
15/01/2000	17:02:43	test	0.00	999999.00	0.99
14/01/2000	17:02:43	test	999999.00	0.00	999999.99
13/01/2000	17:02:43	test	0.00	999999.00	0.99
12/01/2000	17:02:43	test	999999.00	0.00	999999.99
11/01/2000	17:02:43	test	0.00	999999.00	0.99
10/01/2000	17:02:43	test	999999.00	0.00	999999.99
09/01/2000	17:02:43	test	0.00	999999.00	0.99
08/01/2000	17:02:43	test	999999.00	0.00	999999.99
07/01/2000	17:02:43	test	0.00	999999.00	0.99
06/01/2000	17:02:43	test	999999.00	0.00	999999.99
05/01/2000	17:02:43	test	0.00	999999.00	0.00
04/01/2000	17:02:43	test	999999.00	0.00	999999.99
03/01/2000	17:02:43	test	0.00	999999.00	0.00
02/01/2000	17:02:43	test	999999.00	0.00	999999.99
01/01/2000	17:02:43	test	0.00	999999.00	0.00
31/12/1999	17:02:43	test	999999.99	0.00	999999.99
